lost_connection: 1.0 | distance_from_remote_control: 4876.0 | battery_level: 30.0 | risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 1.0 | battery_level: 30.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4876.0],slot:distance_from_remote_control,values: [4876.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage and lost connection! The drone has a damaged frame and low battery. It's flying at an altitude of 1m. The drone is 4876m away from the remote control.      Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: advisory | object_inpath:true | object_distance: 5 | altitude: 1.0 | battery_level: 40.0 | object_name: drone   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [drone],slot:object_name,values: [drone]|| Risk of physical and internal damage! The drone has low battery. It's flying at an altitude of 1m. The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a drone in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 20.0 | object_inpath:true | object_distance: 3 | object_name: building   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [building],slot:object_name,values: [building]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a building in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | normal_frame: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a wall in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 20.0 | battery_level: 10.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [20.0],slot:altitude,values: [20.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]|| Risk of physical damage! The drone has empty battery. It's flying at an altitude of 20m. 
risk_of_physical_damage: warning | indoor: 1.0 | normal_frame: 0.0 | object_distance: 1 | object_inpath:true | object_distance: 1 | object_name: wood stair 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [wood stair 1],slot:object_name,values: [wood stair 1]|| Risk of physical damage! The drone has a damaged frame and is flying indoors.     Risk of physical damage! There's a wooden column in the drone's flight path at a distance of 1m. 
risk_of_internal_damage,: True | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | altitude: 30.0 | battery_level: 20.0 | object_name: Bird1   |   act:INFORM,canonical_values: [True],slot:risk_of_internal_damage,values: [True]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [30.0],slot:altitude,values: [30.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1]|| Risk of physical and internal damage! The drone has low battery. It's flying at an altitude of 30m. The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a moving bird only 1m away. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 0.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 3 | object_name: gravestone 1 | object_name: gravestone 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [gravestone 1],slot:object_name,values: [gravestone 1]| act:INFORM,canonical_values: [gravestone 2],slot:object_name,values: [gravestone 2]|| Risk of Physical Damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 5m.     Risk of Physical Damage! There are two gravestones in the drone's flight path at a distance of 3m.
risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | object_name: Bird1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1] || Risk of physical damage! There's a moving bird only 1m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | object_distance: 0.5 | weather: dark | indoor: 1.0 | altitude: 1.0 | battery_level: 0.0 | normal_frame: 0.0 | object_name: wall 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [dark],slot:weather,values: [dark]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [wall 1],slot:object_name,values: [wall 1]|| Risk of physical damage! The drone has a damaged frame and empty battery. The drone is also flying indoors at an altitude of 1m and in a dark setting.     Risk of physical damage! There's a wall next to the drone at a distance of 0.5m. 
risk_of_internal_damage,: 1.0 | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: warning | object_distance: 0.5 | object_distance: 0.5 | risk_of_human_damage: 1.0 | object_type: Human | object_inpath:true | object_distance: 0.5 | going_backwards: True | altitude: 1.0 | battery_level: 40.0 | normal_frame: False | object_name: ginger bearded man with cap   |   act:INFORM,canonical_values: [1.0],slot:risk_of_internal_damage,values: [1.0]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:risk_of_human_damage,values: [1.0]| act:INFORM,canonical_values: [Human],slot:object_type,values: [Human]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [ginger bearded man with cap],slot:object_name,values: [ginger bearded man with cap]|| Risk of physical damage and internal damage! The drone has a damaged frame and low battery. It's flying backwards at an altitude of 1m. The weather is overcast and the drone is not waterproof.     Risk of physical and human damage! There's a bearded man with cap in the drone's flight path at a distance of .5m. 
risk_of_physical_damage: advisory | object_inpath:true | object_distance: 5 | altitude: 1.0 | battery_level: 40.0 | temperature: 9.0 | battery_level: 40.0 | object_name: tree 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [9.0],slot:temperature,values: [9.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m in a low-temperature setting.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
lost_connection: 1.0 | distance_from_remote_control: 4611.0 | battery_level: 10.0 | risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | altitude: 1.0 | battery_level: 10.0 | object_inpath:true | object_distance: 5 | object_name: tree 1   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4611.0],slot:distance_from_remote_control,values: [4611.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage and lost connection! The drone has an empty battery. It's flying at an altitude of 1m. The drone is 4611m away from the remote control.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. There's another tree only 1m away. 
risk_of_physical_damage: warning | object_distance: 1 | object_inpath:true | object_distance: 1 | object_name: ruin 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [ruin 1],slot:object_name,values: [ruin 1] || Risk of physical damage! There's a ruin in the drone's flight path at a distance of 1m. 
risk_of_physical_damage: warning | object_distance: 1 | altitude: 8.0 | battery_level: 20.0 | object_distance: 1 | risk_of_human_damage: 1.0 | object_type: Human | object_inpath:true | object_distance: 1 | object_name: sailboat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [8.0],slot:altitude,values: [8.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1.0],slot:risk_of_human_damage,values: [1.0]| act:INFORM,canonical_values: [Human],slot:object_type,values: [Human]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [sailboat],slot:object_name,values: [sailboat]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 20m.     Risk of physical damage! There's a person on a sailboat in the drone's flight path at a distance of 1m. The sailboat is also only 1m away. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_inpath:true | object_distance: 8 | object_name: hallway   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [hallway],slot:object_name,values: [hallway]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a hallway in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | altitude: 50.0 | battery_level: 40.0 | normal_frame: 0.0 | wind_speed: 15.0 | battery_level: 40.0 | object_name: tower   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [50.0],slot:altitude,values: [50.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [15.0],slot:wind_speed,values: [15.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [tower],slot:object_name,values: [tower]|| Risk of physical damage and lost connection! The drone has a damaged frame and low battery. It's flying at an altitude of 50m in strong wind. The drone is 4198m away from the remote control.     Risk of physical damage! There's a tower in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | altitude: 2.0 | battery_level: 10.0 | object_name: Bird1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1]|| Risk of physical damage! The drone has empty battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a moving bird only 1m away. The ground is only 1m away. 
risk_of_physical_damage: warning | object_distance: 1 | object_distance: 1 | object_moving, values = true | object_inpath:true | object_distance: 1 | object_name: ride seat 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [ride seat 1],slot:object_name,values: [ride seat 1]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 10m. The drone is 4443m away from the remote control.     Risk of physical damage! There's a ferris wheel in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | altitude: 40.0 | battery_level: 20.0 | object_name: Bird   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [40.0],slot:altitude,values: [40.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [Bird],slot:object_name,values: [Bird] || Risk of physical damage! There's a moving bird only 1m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | object_distance: 0.5 | object_type: Car | normal_frame: False | object_name: car   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [car],slot:object_name,values: [car]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a car only .5m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | altitude: 1.0 | battery_level: 20.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 0.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 5 | object_name: tree 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_distance: 0.5 | object_distance: 0.5 | low_visibility: 1.0 | object_inpath:true | object_distance: 0.5 | indoor: 1.0 | normal_frame: 0.0 | object_name: open window   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:low_visibility,values: [1.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [open window],slot:object_name,values: [open window]|| Risk of physical damage! The drone has a damaged frame. The drone is also flying indoors in a low-visibility setting.      Risk of physical damage! There's an open window in the drone's path at a distance of 0.5m. 
risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | altitude: 11.0 | battery_level: 40.0 | normal_frame: 0.0 | object_name: storagehouse on stilts   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [11.0],slot:altitude,values: [11.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [storagehouse on stilts],slot:object_name,values: [storagehouse on stilts]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 11m.     Risk of physical damage! There's a wall in the drone's flight path at a distance of 5m. There's also a storehouse only 2m away. 
risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: False | object_distance: 2 | object_inpath:true | object_distance: 2 | indoor: True | normal_frame: False | object_name: skyscraper   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [skyscraper],slot:object_name,values: [skyscraper]|| Risk of physical damage! The drone has a damaged frame and is flying indoors.     Risk of physical damage! There's a skyscraper in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: warning | altitude: 2.0 | battery_level: 30.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 8 | object_name: tree 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | object_name: quadricycle   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [quadricycle],slot:object_name,values: [quadricycle] || Risk of physical damage! There's a quadricycle in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: informative | object_distance: 1 | object_name: building   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [building],slot:object_name,values: [building] || Risk of physical damage! There's a building only 1m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | object_distance: 0.5 | object_moving, values = true | object_name: Bird1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1] || Risk of physical damage! There's a moving bird only 0.5m away. There's another moving bird only 1m away. 
risk_of_physical_damage: warning | object_distance: 1.5 | pilot_experienced: 0.0 | object_distance: 1.5 | altitude: 20.0 | battery_level: 30.0 | normal_frame: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [20.0],slot:altitude,values: [20.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]|| Risk of physical damage and lost connection! The drone has a damaged frame and low battery. It's flying at an altitude of 20m. The drone is 4805m away from the remote control and nearly out of range.     Risk of physical damage! There's a building only 1.5m away. 
risk_of_physical_damage: warning | object_distance: 1 | object_inpath:true | object_distance: 1 | object_name: sailboat 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [sailboat 1],slot:object_name,values: [sailboat 1] || Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | object_distance: 0.5 | object_moving, values = true | altitude: 80.0 | battery_level: 20.0 | temperature: -2.0 | battery_level: 20.0 | object_name: Bird1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [80.0],slot:altitude,values: [80.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [-2.0],slot:temperature,values: [-2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 80m in a very low-temperature setting.     Risk of physical damage! There's a moving bird only 0.5m away. There's another moving bird only 1.5m away. There's another moving bird only 2m away. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_inpath:true | object_distance: 5 | object_name: storehouse 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [storehouse 1],slot:object_name,values: [storehouse 1] || Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 5m. There's another storehouse only 2m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | normal_frame: 0.0 | object_name: speed boat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [speed boat],slot:object_name,values: [speed boat]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a speedboat in the drone's flight path at a distance of 5m. 
